index,QaA,QaE,QbA,QbE,QcA,QcE,QdA,QdE,QeA,QeE,QfA,QfE,QgA,QgE,QhA,QhE,QiA,QiE,QjA,QjE,QkA,QkE,QlA,QlE,QmA,QmE,QnA,QnE,QoA,QoE,QpA,QpE,QqA,QqE,QrA,QrE,QsA,QsE,QtA,QtE,age_group,education,engnat,familysize,gender,hand,married,race,religion,tp01,tp02,tp03,tp04,tp05,tp06,tp07,tp08,tp09,tp10,urban,voted,wf_01,wf_02,wf_03,wr_01,wr_02,wr_03,wr_04,wr_05,wr_06,wr_07,wr_08,wr_09,wr_10,wr_11,wr_12,wr_13
19,2.0,989,5.0,5602,5.0,542,2.0,2067,2.0,1004,2.0,615,1.0,334,4.0,742,4.0,3872,4.0,571,4.0,606,5.0,597,4.0,436,1.0,750,2.0,725,4.0,1128,2.0,612,2.0,714,1.0,365,4.0,527,30s,2,1,3,Female,1,2,White,Other,6,5,4,4,6,1,5,5,4,2,3,2,0,0,0,1,1,0,1,1,0,1,1,0,1,1,1,1
20,3.0,309,4.0,877,5.0,628,3.0,427,5.0,726,4.0,664,5.0,475,2.0,607,2.0,982,5.0,730,4.0,605,4.0,507,4.0,520,3.0,423,4.0,573,4.0,636,4.0,422,3.0,427,2.0,857,3.0,519,20s,4,2,2,Male,1,1,Asian,Hindu,6,5,2,1,2,0,0,2,3,3,3,2,0,0,0,1,1,0,1,1,0,1,1,0,1,0,1,1
21,2.0,619,4.0,1012,5.0,597,1.0,936,1.0,2443,5.0,1552,3.0,952,3.0,1314,5.0,1189,4.0,1769,5.0,1411,5.0,923,4.0,759,2.0,941,4.0,830,4.0,1261,4.0,868,1.0,942,1.0,840,1.0,1091,40s,4,1,2,Male,3,2,Black,Christian_Catholic,5,2,1,6,0,1,2,3,2,3,3,1,1,0,0,1,1,0,1,1,0,1,1,1,1,0,1,1
22,4.0,366,2.0,1123,2.0,1007,2.0,581,2.0,1359,4.0,1450,2.0,897,1.0,1104,4.0,2269,1.0,1131,4.0,871,5.0,990,3.0,278,4.0,504,4.0,671,2.0,716,3.0,487,3.0,1047,4.0,1361,4.0,1200,10s,2,1,2,Female,2,1,White,Atheist,2,3,1,2,1,2,1,5,1,2,2,2,0,0,0,0,1,0,0,1,0,1,1,0,1,0,1,1
23,1.0,1922,1.0,2533,2.0,1230,3.0,3038,1.0,2065,5.0,719,3.0,1105,2.0,4178,5.0,2092,3.0,3546,4.0,1293,5.0,1734,1.0,1002,5.0,646,1.0,1102,2.0,5555,1.0,1691,4.0,2531,1.0,1685,1.0,1051,30s,3,1,4,Male,1,2,White,Agnostic,2,0,1,1,0,1,1,6,2,6,1,2,0,0,0,1,1,0,1,1,0,1,1,0,1,0,1,1
24,2.0,835,3.0,1047,3.0,1285,1.0,864,3.0,1798,4.0,2252,4.0,1444,3.0,1566,3.0,2084,3.0,1305,5.0,1582,3.0,1864,2.0,1799,4.0,2612,2.0,1087,1.0,1012,4.0,627,3.0,2382,3.0,855,1.0,978,40s,3,2,3,Female,1,2,White,Agnostic,2,5,0,6,5,6,3,6,0,6,3,1,0,0,1,1,1,0,1,1,1,1,1,0,1,0,1,1
25,3.0,483,2.0,871,2.0,849,2.0,650,5.0,974,1.0,576,4.0,1162,1.0,1167,5.0,2206,4.0,1999,5.0,1335,5.0,678,2.0,697,5.0,595,3.0,1464,2.0,1028,4.0,823,4.0,1130,2.0,528,4.0,1548,30s,4,1,4,Female,1,3,White,Christian_Other,2,5,1,4,1,2,0,5,2,1,2,1,0,0,0,1,1,0,1,1,0,1,1,0,1,0,1,1
26,2.0,473,2.0,1614,4.0,1317,1.0,837,2.0,1115,2.0,1677,4.0,2593,4.0,1314,2.0,2033,4.0,1058,4.0,1679,3.0,1446,4.0,811,2.0,643,2.0,3032,1.0,1014,1.0,493,2.0,1092,1.0,810,4.0,1221,40s,3,1,3,Female,1,3,White,Christian_Other,4,2,4,1,1,4,2,3,2,0,2,1,0,0,0,1,1,0,1,1,0,1,1,0,1,0,1,1
27,1.0,368,4.0,2668,4.0,767,1.0,659,1.0,441,1.0,817,4.0,661,3.0,2345,1.0,1126,5.0,1020,2.0,2224,5.0,625,5.0,904,1.0,275,5.0,612,5.0,438,1.0,380,1.0,726,5.0,484,5.0,1156,10s,2,1,2,Male,1,1,Black,Atheist,1,2,1,2,0,2,2,2,4,5,2,2,0,0,0,1,1,0,1,1,0,1,1,0,1,1,1,1
28,1.0,363,5.0,941,5.0,1237,1.0,823,5.0,1099,1.0,509,1.0,430,5.0,1406,1.0,1424,5.0,1294,3.0,1587,5.0,1168,5.0,703,1.0,515,4.0,1235,5.0,1019,2.0,1631,1.0,1099,5.0,982,5.0,970,30s,3,1,2,Male,1,2,Native American,Agnostic,5,5,0,3,0,1,3,6,1,6,3,2,0,1,0,1,1,0,1,1,0,1,1,1,1,0,1,1
29,5.0,613,5.0,968,5.0,377,1.0,829,2.0,1049,1.0,462,2.0,473,5.0,619,3.0,1134,4.0,941,5.0,723,5.0,880,4.0,736,2.0,798,5.0,624,4.0,1146,4.0,1102,5.0,918,3.0,543,4.0,1024,50s,3,1,2,Female,1,2,White,Christian_Protestant,6,2,3,3,1,3,1,2,5,6,2,2,0,0,0,1,1,1,1,1,0,1,1,0,1,1,1,1
30,1.0,290,1.0,984,4.0,875,2.0,819,2.0,1498,2.0,6047,1.0,540,1.0,8619,4.0,1254,2.0,892,2.0,724,3.0,1099,1.0,1181,3.0,710,2.0,1258,5.0,592,1.0,625,4.0,1648,1.0,687,4.0,868,10s,2,2,2,Male,1,1,White,Christian_Protestant,4,0,0,6,0,5,3,6,0,6,1,2,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1
31,4.0,2340,1.0,18350,3.0,31865,1.0,4024,5.0,5023,4.0,3223,4.0,298,5.0,6461,5.0,2506,1.0,35752,5.0,2108,2.0,3805,5.0,1550,5.0,8715,5.0,2323,3.0,1880,1.0,1083,5.0,3592,4.0,9633,2.0,104,10s,1,2,2,Male,2,1,White,Christian_Catholic,0,5,1,6,0,6,0,2,0,6,1,1,1,0,0,1,1,1,1,0,0,1,1,0,1,0,1,1
32,2.0,804,5.0,563,4.0,1012,4.0,508,4.0,885,2.0,410,4.0,437,1.0,714,5.0,891,5.0,991,5.0,628,5.0,656,4.0,557,2.0,1148,4.0,932,5.0,3674,4.0,1257,2.0,714,4.0,390,4.0,764,10s,2,2,3,Male,1,1,Black,Agnostic,6,5,4,1,2,0,2,1,4,5,3,2,0,0,0,1,1,0,1,1,0,1,1,0,1,0,1,1
33,5.0,692,1.0,46,5.0,865,1.0,854,1.0,1052,1.0,573,1.0,674,1.0,1720,1.0,1340,5.0,3169,1.0,890,5.0,651,5.0,1098,1.0,481,5.0,672,1.0,977,5.0,971,1.0,843,5.0,486,5.0,775,40s,3,1,2,Female,1,1,White,Christian_Protestant,0,0,0,2,1,2,6,6,5,6,3,1,0,0,0,1,1,0,1,1,0,1,1,1,1,0,1,1
34,1.0,612,5.0,1080,5.0,1102,4.0,1262,1.0,1193,2.0,1179,5.0,803,1.0,1176,4.0,1534,3.0,2905,2.0,1106,5.0,1346,4.0,809,2.0,1699,1.0,871,3.0,1041,2.0,815,4.0,916,4.0,1082,4.0,1252,30s,3,1,2,Male,3,1,Other,Other,1,2,0,3,0,2,2,4,2,5,1,2,0,0,0,1,0,0,1,1,1,1,1,0,1,0,1,1
35,1.0,642,5.0,590,2.0,475,2.0,647,1.0,958,2.0,424,4.0,685,1.0,964,5.0,751,2.0,1352,5.0,481,5.0,980,2.0,452,4.0,418,3.0,673,4.0,669,4.0,549,3.0,1090,3.0,436,3.0,1026,30s,3,1,1,Female,2,1,White,Agnostic,2,2,5,4,0,2,2,1,4,6,3,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1
36,1.0,1277,4.0,1243,5.0,1637,1.0,1792,3.0,814,5.0,1313,2.0,909,1.0,1818,4.0,1481,4.0,2007,5.0,1092,4.0,1544,5.0,2357,3.0,1155,2.0,903,2.0,1124,4.0,680,3.0,1372,4.0,1734,1.0,1428,40s,3,2,4,Male,1,2,Asian,Agnostic,5,2,2,2,1,4,1,2,4,2,2,2,0,0,0,1,1,0,1,1,0,1,1,0,1,0,1,0
37,5.0,1112,4.0,1053,1.0,1452,5.0,2972,2.0,1496,1.0,1271,1.0,1832,3.0,2416,3.0,6838,2.0,840,5.0,859,5.0,1289,2.0,731,2.0,1467,2.0,957,2.0,849,5.0,1139,2.0,855,1.0,2658,1.0,1178,20s,3,2,1,Male,1,1,White,Atheist,0,1,0,5,1,6,0,4,1,5,3,1,0,0,0,0,1,0,1,1,0,1,1,0,1,0,1,1
38,2.0,287,4.0,1351,4.0,639,1.0,995,2.0,1136,2.0,388,1.0,725,3.0,1296,1.0,2017,5.0,881,3.0,1026,5.0,839,4.0,658,1.0,325,4.0,876,2.0,825,1.0,369,4.0,791,5.0,462,2.0,866,20s,3,1,2,Male,1,1,Asian,Christian_Catholic,1,0,1,4,2,4,6,6,3,4,2,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
39,3.0,906,1.0,2483,4.0,2072,4.0,2442,5.0,3591,5.0,2004,5.0,2024,1.0,1658,5.0,6415,2.0,5950,5.0,2780,5.0,3137,1.0,1363,5.0,1360,1.0,8854,1.0,2407,3.0,2306,5.0,2924,1.0,930,1.0,1165,20s,2,2,2,Female,1,1,White,Atheist,3,1,6,4,3,3,2,0,6,1,3,2,0,0,0,0,1,0,1,1,0,1,1,0,1,0,1,1
40,1.0,481,3.0,1630,3.0,3235,1.0,5193,3.0,2489,2.0,3066,1.0,4730,2.0,1580,2.0,3261,4.0,1460,4.0,5044,4.0,3071,1.0,1185,3.0,1583,4.0,637,2.0,852,2.0,529,2.0,2357,2.0,1330,4.0,2523,20s,3,2,1,Female,1,1,Asian,Other,1,2,3,2,1,4,3,3,4,4,3,2,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0
41,3.0,354,4.0,1668,1.0,992,1.0,1154,1.0,1354,1.0,468,2.0,855,1.0,2771,1.0,2066,2.0,940,1.0,1323,5.0,1319,5.0,562,1.0,411,4.0,1507,5.0,857,1.0,623,1.0,1416,1.0,475,2.0,1577,10s,2,1,3,Female,1,1,Other,Atheist,0,0,1,2,0,6,5,6,2,0,3,2,0,0,0,1,1,0,1,1,0,1,1,0,1,0,1,1
42,3.0,860,1.0,9449,4.0,952,1.0,829,2.0,2082,1.0,550,1.0,458,1.0,1633,5.0,13721,2.0,3008,2.0,1483,5.0,618,4.0,619,4.0,472,5.0,530,3.0,562,3.0,873,2.0,1278,4.0,486,3.0,1013,20s,2,1,3,Female,1,1,Other,Atheist,1,1,2,4,1,6,3,2,4,6,3,1,0,0,0,1,1,0,1,1,0,1,1,1,1,1,1,1
43,2.0,296,1.0,2334,3.0,1313,3.0,1081,3.0,647,2.0,1054,4.0,453,4.0,928,4.0,6713,4.0,742,4.0,934,4.0,643,2.0,994,4.0,1353,4.0,682,3.0,733,4.0,417,2.0,559,4.0,460,1.0,1225,20s,3,1,2,Male,1,1,White,Atheist,1,2,3,2,4,4,1,2,2,2,2,1,0,1,0,1,1,1,1,1,0,1,1,0,1,0,1,1
44,2.0,404,1.0,1811,3.0,1745,4.0,5679,2.0,2367,4.0,282,2.0,1373,4.0,2766,3.0,2483,3.0,3312,5.0,883,4.0,2012,2.0,2717,3.0,519,2.0,1057,1.0,755,4.0,858,4.0,1500,1.0,183,3.0,7187,30s,3,1,1,Male,1,3,White,Atheist,5,5,1,2,1,1,1,5,4,4,2,1,0,0,0,1,1,0,0,1,0,1,1,0,1,0,0,1
45,3.0,558,2.0,2694,3.0,2615,3.0,1685,3.0,2231,2.0,1493,4.0,707,3.0,1311,5.0,497,4.0,1341,5.0,1874,4.0,1392,4.0,1927,5.0,887,4.0,2972,2.0,6222,4.0,1248,4.0,815,2.0,959,4.0,2297,20s,2,2,0,Male,2,1,Asian,Agnostic,4,4,2,4,2,1,2,5,1,5,1,1,0,0,0,0,1,0,1,1,1,1,1,0,1,0,1,1
46,4.0,2791,1.0,1655,5.0,1549,1.0,899,1.0,1637,1.0,490,1.0,398,1.0,2760,3.0,1843,5.0,1214,4.0,1678,5.0,1107,4.0,1331,1.0,1614,5.0,655,5.0,1029,3.0,644,4.0,1584,4.0,1149,3.0,3865,20s,2,1,2,Female,1,1,Other,Agnostic,0,5,1,2,1,5,2,1,1,6,2,1,0,0,1,1,1,0,1,1,0,1,1,0,1,1,1,1
47,2.0,1253,2.0,1571,2.0,1076,1.0,1382,2.0,2187,2.0,1369,4.0,1106,1.0,1453,4.0,2888,5.0,2065,5.0,1083,2.0,4024,4.0,1340,4.0,853,4.0,1618,2.0,1119,5.0,1156,5.0,1423,4.0,1533,5.0,2182,50s,4,2,2,Female,1,2,White,Jewish,1,5,0,5,2,4,0,6,2,6,2,2,0,0,0,0,1,0,1,1,0,1,1,0,1,0,1,1
48,1.0,362,5.0,957,4.0,666,1.0,900,1.0,871,1.0,459,1.0,542,1.0,1176,2.0,1797,4.0,1278,3.0,704,5.0,10539,3.0,704,2.0,595,4.0,830,3.0,579,3.0,521,2.0,1309,4.0,1263,4.0,909,20s,2,1,2,Male,1,1,White,Other,1,2,4,1,0,3,3,0,5,4,3,1,0,0,1,1,1,0,1,1,0,1,1,0,1,1,1,1
49,2.0,1615,4.0,2198,5.0,1535,2.0,1422,1.0,1901,1.0,1006,5.0,1582,5.0,1505,4.0,3196,4.0,1409,2.0,2199,4.0,1818,5.0,3154,2.0,842,4.0,1231,4.0,1287,2.0,1497,4.0,3424,5.0,733,4.0,2940,30s,3,1,3,Female,2,2,White,Christian_Other,2,2,2,2,2,4,2,4,2,6,2,2,0,0,0,0,1,0,1,1,0,1,1,0,1,0,1,1
50,2.0,1425,4.0,643,4.0,802,1.0,550,2.0,1538,2.0,904,1.0,413,1.0,768,4.0,1068,1.0,1349,5.0,737,4.0,1079,1.0,742,4.0,688,1.0,578,5.0,1160,4.0,686,4.0,1510,4.0,475,1.0,1023,60s,4,1,3,Female,1,3,White,Buddhist,6,4,2,2,0,1,0,3,2,5,2,2,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
51,1.0,584,1.0,1147,4.0,1220,2.0,211,1.0,9542,4.0,2720,5.0,839,5.0,4808,4.0,1922,4.0,1664,3.0,1744,5.0,1147,4.0,1257,5.0,499,2.0,939,1.0,701,2.0,772,1.0,2109,4.0,829,1.0,2025,50s,4,2,4,Male,1,2,White,Christian_Catholic,2,1,0,2,0,5,1,5,1,3,3,1,0,0,0,1,1,0,1,1,1,1,1,0,1,1,1,1
52,1.0,264,5.0,471,5.0,2255,1.0,907,1.0,1028,1.0,765,2.0,1194,1.0,724,5.0,1048,5.0,609,1.0,786,5.0,1068,5.0,832,1.0,804,5.0,765,5.0,489,1.0,459,2.0,3709,4.0,317,5.0,956,10s,2,2,1,Female,3,1,Other,Other,4,0,0,1,1,0,5,0,4,6,1,2,1,1,0,0,1,0,1,1,0,0,1,0,1,0,1,1
53,2.0,377,3.0,665,5.0,507,1.0,644,5.0,876,1.0,428,1.0,301,2.0,1359,5.0,1489,3.0,1031,4.0,865,5.0,649,4.0,577,2.0,394,5.0,479,1.0,771,3.0,461,4.0,1016,5.0,353,4.0,804,20s,3,1,0,Female,2,1,White,Atheist,0,6,0,2,2,6,3,2,4,6,1,1,0,1,0,1,1,0,1,1,0,1,1,0,1,1,1,1
54,3.0,426,1.0,771,1.0,1395,3.0,802,1.0,612,1.0,479,4.0,404,1.0,1912,5.0,884,4.0,2152,5.0,891,5.0,1006,1.0,514,5.0,781,1.0,596,1.0,1101,3.0,353,4.0,1208,4.0,353,1.0,429,30s,3,1,2,Female,1,1,Native American,Agnostic,0,2,2,5,1,4,1,4,1,5,3,2,0,0,0,1,1,0,1,1,1,1,1,0,1,0,1,1
55,3.0,661,1.0,1219,4.0,950,1.0,1301,1.0,4080,1.0,1032,1.0,961,1.0,1418,5.0,2396,3.0,1186,1.0,2234,5.0,921,5.0,886,1.0,528,5.0,889,4.0,975,3.0,754,1.0,919,4.0,1091,5.0,1715,40s,3,1,1,Male,1,2,White,Atheist,3,6,1,6,0,4,1,6,0,6,2,1,0,0,0,1,1,0,1,1,0,1,1,0,1,0,1,1
56,3.0,331,4.0,924,4.0,648,4.0,644,2.0,1532,4.0,1044,2.0,501,1.0,966,5.0,1613,4.0,1026,4.0,642,4.0,1103,2.0,3123,3.0,606,2.0,2359,2.0,661,4.0,528,2.0,674,4.0,435,2.0,1165,40s,4,1,2,Male,1,2,White,Christian_Catholic,4,4,2,4,1,3,1,5,1,2,2,1,0,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1
57,1.0,518,3.0,4264,4.0,1546,1.0,6525,1.0,1054,2.0,1888,2.0,609,1.0,1350,5.0,1149,2.0,892,5.0,145237,5.0,704,2.0,1242,4.0,597,1.0,2037,5.0,1087,2.0,630,3.0,1555,1.0,1252,3.0,1772,30s,2,1,2,Female,1,2,White,Agnostic,4,2,1,2,2,2,4,6,1,3,2,2,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1
58,4.0,530,4.0,840,5.0,651,1.0,742,1.0,922,2.0,942,1.0,763,1.0,2038,4.0,1273,4.0,1069,5.0,1110,4.0,1750,4.0,601,1.0,955,4.0,652,4.0,688,4.0,697,4.0,1436,4.0,504,2.0,1274,50s,2,1,3,Female,1,3,Other,Christian_Other,6,2,5,1,1,1,2,5,5,5,2,1,0,0,0,1,1,0,1,1,0,1,1,1,1,1,1,1
59,1.0,388,2.0,1208,2.0,1022,1.0,580,1.0,901,1.0,710,1.0,475,1.0,832,3.0,1584,4.0,1096,4.0,1660,1.0,1309,5.0,655,1.0,311,3.0,6785,4.0,888,1.0,956,3.0,1528,5.0,577,1.0,1087,10s,1,1,2,Male,1,1,White,Agnostic,5,4,5,4,1,1,2,2,1,3,2,2,0,0,0,0,1,0,1,1,0,1,1,0,1,0,1,1
60,1.0,378,4.0,773,5.0,502,1.0,692,3.0,850,1.0,606,2.0,621,3.0,917,2.0,919,4.0,783,3.0,787,5.0,524,4.0,645,1.0,794,5.0,757,3.0,1102,3.0,366,2.0,698,5.0,390,4.0,736,20s,3,1,3,Female,1,1,Asian,Christian_Catholic,3,2,1,0,0,3,3,0,6,6,3,2,0,0,0,1,0,0,1,1,0,1,1,0,1,0,1,1
61,2.0,611,5.0,1197,5.0,1377,1.0,922,1.0,1784,1.0,1440,4.0,586,2.0,821,2.0,1174,5.0,803,5.0,1106,5.0,996,4.0,678,3.0,408,2.0,767,4.0,925,2.0,773,3.0,1384,4.0,555,4.0,723,20s,2,1,1,Male,2,1,White,Agnostic,6,5,2,0,2,0,0,0,3,6,3,1,0,0,0,1,1,0,1,1,0,1,1,0,1,1,1,1
